die,Mutter,мама
der,Vater,папа
das,Madchen,девочка
der,Junge,мальчик
die,Geschichte,история
das,Krankenhaus,больница
das,Interview,интервью
die,Ausbildung,образование
der,Beruf,профессия
das,Thema,тема
der,Job,профессия
die,Stelle,место
